ID_Viagem,Data,Tipo_Frota,Placa_Veiculo,Motorista,Rota,Distancia_km,Carga_Toneladas,Valor_Frete_R$_Ton,Receita_Faturada_R$,Consumo_Diesel_L,Media_Consumo_km_l,Custo_Diesel_R$,Custo_Pedagio_R$,Custo_Manutencao_R$,Custo_Total_Viagem_R$,Margem_Lucro_R$,R$_Km,R$_Ton_Efetivo,Tempo_Rodando_h,Fila_Silo_h,Fila_Porto_Tombador_h,Tempo_Total_Ciclo_h,Score_Telemetria,Emissao_CO2_kg,Status_Entrega
VJ-10000,01/02/2026,Dedicada,PR-D082,Motorista_068,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.12,188.21,9056.67,331.4,1.75,2038.11,340.0,0.0,2378.11,6678.56,4.1,49.42,10.9,1.2,19.2,31.3,85,888.2,Atrasado (Fila)
VJ-10001,01/02/2026,Dedicada,PR-D020,Motorista_036,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.32,196.29,9877.31,316.9,1.83,1948.94,340.0,0.0,2288.94,7588.37,3.95,45.49,10.8,2.4,2.7,15.9,96,849.3,No Prazo
VJ-10002,01/02/2026,Dedicada,PR-D065,Motorista_073,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,49.86,199.33,9938.59,356.3,1.74,2191.25,410.0,0.0,2601.25,7337.34,4.2,52.17,10.0,1.7,1.0,12.7,93,954.9,No Prazo
VJ-10003,01/02/2026,Própria,PR-P002,Motorista_008,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,49.62,208.39,10340.31,299.0,1.94,1838.85,340.0,261.0,2619.85,7720.46,4.52,52.8,10.4,2.2,0.2,12.8,92,801.3,No Prazo
VJ-10004,01/02/2026,Dedicada,PR-D036,Motorista_021,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,50.28,202.09,10161.09,349.4,1.66,2148.81,340.0,0.0,2488.81,7672.28,4.29,49.5,9.4,3.7,9.1,22.2,93,936.4,No Prazo
VJ-10005,01/02/2026,Dedicada,PR-D191,Motorista_050,Silo Dois Vizinhos -> Terminal Mairinque (SP),620,49.89,207.88,10371.13,333.3,1.86,2049.8,410.0,0.0,2459.8,7911.33,3.97,49.3,10.2,2.5,1.6,14.3,79,893.2,No Prazo
VJ-10006,01/02/2026,Dedicada,PR-D053,Motorista_052,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,48.2,291.02,14027.16,1179.8,1.78,7255.77,180.0,0.0,7435.77,6591.39,3.54,154.27,35.6,2.3,5.3,43.2,89,3161.9,No Prazo
VJ-10007,01/02/2026,Dedicada,PR-D014,Motorista_012,Silo Realeza -> Transbordo Ferroviário (PR),280,50.4,90.56,4564.22,162.8,1.72,1001.22,160.0,0.0,1161.22,3403.0,4.15,23.04,5.4,1.5,1.9,8.8,64,436.3,No Prazo
VJ-10008,01/02/2026,Dedicada,PR-D037,Motorista_145,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.94,190.89,9342.16,329.5,1.76,2026.43,340.0,0.0,2366.43,6975.73,4.08,48.35,10.3,1.1,1.7,13.1,77,883.1,No Prazo
VJ-10009,01/02/2026,Dedicada,PR-D202,Motorista_061,Silo Pato Branco -> Indústria Esmagadora (PR),140,49.74,57.2,2845.13,77.3,1.81,475.4,85.0,0.0,560.4,2284.73,4.0,11.27,2.6,3.5,1.2,7.3,61,207.2,No Prazo
VJ-10010,01/02/2026,Dedicada,PR-D154,Motorista_007,Silo Capanema -> Porto de Itaqui (MA) [Arco Norte],2100,48.7,303.42,14776.55,1166.7,1.8,7175.21,180.0,0.0,7355.21,7421.34,3.5,151.03,35.8,2.6,9.9,48.3,79,3126.8,No Prazo
VJ-10011,01/02/2026,Dedicada,PR-D154,Motorista_066,Silo Francisco Beltrão -> Porto de Paranaguá (PR),580,48.45,209.75,10162.39,339.2,1.71,2086.08,340.0,0.0,2426.08,7736.31,4.18,50.07,10.4,1.0,5.7,17.1,98,909.1,No Prazo
