ID_Viagem,Data,Tipo_Frota,Placa_Veiculo,Rota,Distancia_km,Carga_t,Tempo_Viagem_h,Tempo_Espera_Fila_h,Consumo_L,Media_km_l,Custo_Total_R$,R$_km,R$_Ton
VJ-1000,01/02/2026,Dedicada,PR-D191,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.4,11.1,5.5,313.5,1.85,3955.6,6.82,81.73
VJ-1001,01/02/2026,Dedicada,PR-D160,Unidade Sul -> Transbordo Ferroviário (PR),280,50.0,5.5,4.4,163.7,1.71,1904.0,6.8,38.08
VJ-1002,01/02/2026,Dedicada,PR-D161,Unidade Sul -> Transbordo Ferroviário (PR),280,49.0,5.3,15.1,160.0,1.75,1842.4,6.58,37.6
VJ-1003,01/02/2026,Dedicada,PR-D067,Unidade Oeste -> Indústria Local (PR),140,48.1,2.8,4.1,76.5,1.83,975.8,6.97,20.29
VJ-1004,01/02/2026,Própria,PR-P018,Unidade Oeste -> Indústria Local (PR),140,47.8,2.5,29.1,72.2,1.94,849.8,6.07,17.78
VJ-1005,01/02/2026,Própria,PR-P025,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,9.5,11.4,303.7,1.91,3613.4,6.23,75.44
VJ-1006,01/02/2026,Própria,PR-P042,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,11.5,1.4,310.2,1.87,3671.4,6.33,76.33
VJ-1007,01/02/2026,Dedicada,PR-D054,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,11.3,16.0,325.8,1.78,3712.0,6.4,77.49
VJ-1008,02/02/2026,Dedicada,PR-D058,Unidade Oeste -> Indústria Local (PR),140,48.0,2.5,0.7,83.3,1.68,957.6,6.84,19.95
VJ-1009,02/02/2026,Dedicada,PR-D067,Unidade Norte -> Terminal Mairinque (SP),490,48.2,8.0,10.2,281.6,1.74,3214.4,6.56,66.69
VJ-1010,02/02/2026,Própria,PR-P040,Unidade Norte -> Terminal Mairinque (SP),490,47.9,9.1,2.9,242.6,2.02,3047.8,6.22,63.63
VJ-1011,02/02/2026,Dedicada,PR-D174,Unidade Norte -> Terminal Mairinque (SP),490,49.7,8.7,12.6,260.6,1.88,3116.4,6.36,62.7
VJ-1012,02/02/2026,Dedicada,PR-D024,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.7,11.5,12.2,320.4,1.81,3735.2,6.44,78.31
VJ-1013,02/02/2026,Dedicada,PR-D114,Unidade Oeste -> Indústria Local (PR),140,48.8,2.7,9.8,80.9,1.73,977.2,6.98,20.02
VJ-1014,02/02/2026,Dedicada,PR-D032,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.5,9.4,9.4,320.4,1.81,3758.4,6.48,77.49
VJ-1015,02/02/2026,Dedicada,PR-D175,Unidade Oeste -> Indústria Local (PR),140,50.0,2.3,2.2,78.2,1.79,975.8,6.97,19.52
VJ-1016,03/02/2026,Dedicada,PR-D086,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.8,11.6,0.5,315.2,1.84,3781.6,6.52,79.11
VJ-1017,03/02/2026,Dedicada,PR-D151,Unidade Sul -> Transbordo Ferroviário (PR),280,48.5,4.6,3.1,164.7,1.7,1906.8,6.81,39.32
VJ-1018,03/02/2026,Dedicada,PR-D194,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.9,10.1,1.1,316.9,1.83,3978.8,6.86,79.74
VJ-1019,03/02/2026,Dedicada,PR-D127,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.7,9.6,7.1,324.0,1.79,3891.8,6.71,78.31
VJ-1020,03/02/2026,Dedicada,PR-D155,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.5,10.5,2.5,310.2,1.87,3793.2,6.54,76.63
VJ-1021,03/02/2026,Própria,PR-P042,Unidade Norte -> Terminal Mairinque (SP),490,48.1,8.7,22.3,243.8,2.01,3008.6,6.14,62.55
VJ-1022,03/02/2026,Dedicada,PR-D130,Unidade Oeste -> Indústria Local (PR),140,47.9,2.5,6.1,77.3,1.81,886.2,6.33,18.5
VJ-1023,03/02/2026,Dedicada,PR-D017,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.2,10.0,10.4,310.2,1.87,3793.2,6.54,77.1
VJ-1024,04/02/2026,Dedicada,PR-D104,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.8,11.2,0.9,341.2,1.7,3955.6,6.82,79.43
VJ-1025,04/02/2026,Dedicada,PR-D161,Unidade Norte -> Terminal Mairinque (SP),490,48.9,9.7,11.9,262.0,1.87,3454.5,7.05,70.64
VJ-1026,04/02/2026,Dedicada,PR-D137,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.9,10.8,15.4,318.7,1.82,4060.0,7.0,83.03
VJ-1027,04/02/2026,Dedicada,PR-D043,Unidade Norte -> Terminal Mairinque (SP),490,48.2,8.4,4.0,289.9,1.69,3385.9,6.91,70.25
VJ-1028,04/02/2026,Dedicada,PR-D176,Unidade Norte -> Terminal Mairinque (SP),490,49.4,9.3,5.6,281.6,1.74,3395.7,6.93,68.74
VJ-1029,04/02/2026,Própria,PR-P039,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.0,10.0,8.7,299.0,1.94,3393.0,5.85,70.69
VJ-1030,04/02/2026,Dedicada,PR-D170,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,9.4,1.2,343.2,1.69,3775.8,6.51,78.17
VJ-1031,04/02/2026,Própria,PR-P026,Unidade Sul -> Transbordo Ferroviário (PR),280,48.6,5.5,4.2,144.3,1.94,1680.0,6.0,34.57
VJ-1032,05/02/2026,Própria,PR-P035,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.8,10.0,3.1,295.9,1.96,3636.6,6.27,74.52
VJ-1033,05/02/2026,Dedicada,PR-D050,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,10.5,0.9,322.2,1.8,3915.0,6.75,81.39
VJ-1034,05/02/2026,Dedicada,PR-D153,Unidade Norte -> Terminal Mairinque (SP),490,47.8,8.1,2.7,289.9,1.69,3131.1,6.39,65.5
VJ-1035,05/02/2026,Dedicada,PR-D152,Unidade Sul -> Transbordo Ferroviário (PR),280,49.0,5.4,0.4,151.4,1.85,1864.8,6.66,38.06
VJ-1036,05/02/2026,Dedicada,PR-D013,Unidade Sul -> Transbordo Ferroviário (PR),280,48.2,4.8,0.2,149.7,1.87,1867.6,6.67,38.75
VJ-1037,05/02/2026,Própria,PR-P007,Unidade Norte -> Terminal Mairinque (SP),490,49.0,8.2,0.9,241.4,2.03,2886.1,5.89,58.9
VJ-1038,05/02/2026,Dedicada,PR-D057,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.9,9.5,19.8,316.9,1.83,3909.2,6.74,81.61
VJ-1039,05/02/2026,Dedicada,PR-D036,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.7,10.0,4.8,339.2,1.71,3828.0,6.6,78.6
VJ-1040,06/02/2026,Própria,PR-P045,Unidade Norte -> Terminal Mairinque (SP),490,48.8,8.8,20.3,251.3,1.95,2866.5,5.85,58.74
VJ-1041,06/02/2026,Dedicada,PR-D020,Unidade Oeste -> Indústria Local (PR),140,47.6,2.4,3.4,83.3,1.68,894.6,6.39,18.79
VJ-1042,06/02/2026,Própria,PR-P001,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,9.6,2.2,315.2,1.84,3572.8,6.16,73.97
VJ-1043,06/02/2026,Dedicada,PR-D008,Unidade Sul -> Transbordo Ferroviário (PR),280,47.8,4.9,4.2,160.9,1.74,1772.4,6.33,37.08
VJ-1044,06/02/2026,Dedicada,PR-D144,Unidade Sudoeste -> Porto de Paranaguá (PR),580,47.7,11.5,3.5,325.8,1.78,3996.2,6.89,83.78
VJ-1045,06/02/2026,Dedicada,PR-D142,Unidade Oeste -> Indústria Local (PR),140,50.0,2.3,0.7,76.5,1.83,984.2,7.03,19.68
VJ-1046,06/02/2026,Dedicada,PR-D204,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.3,10.0,6.1,318.7,1.82,3781.6,6.52,78.29
VJ-1047,06/02/2026,Dedicada,PR-D115,Unidade Oeste -> Indústria Local (PR),140,49.5,2.4,1.5,79.1,1.77,978.6,6.99,19.77
VJ-1048,07/02/2026,Dedicada,PR-D143,Unidade Sudoeste -> Porto de Paranaguá (PR),580,48.1,11.0,5.8,335.3,1.73,3787.4,6.53,78.74
VJ-1049,07/02/2026,Dedicada,PR-D092,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.2,10.0,6.3,308.5,1.88,4077.4,7.03,82.87
VJ-1050,07/02/2026,Dedicada,PR-D098,Unidade Sudoeste -> Porto de Paranaguá (PR),580,49.4,10.6,1.0,327.7,1.77,4002.0,6.9,81.01
VJ-1051,07/02/2026,Dedicada,PR-D066,Unidade Oeste -> Indústria Local (PR),140,49.0,2.4,0.4,79.1,1.77,971.6,6.94,19.83
VJ-1052,07/02/2026,Dedicada,PR-D032,Unidade Norte -> Terminal Mairinque (SP),490,48.7,9.6,9.1,286.5,1.71,3091.9,6.31,63.49
